Citation key,Cited,Checked
misirli-casalicchio-2024,False,False
rjoub-bentahar-2017,False,False
yousif-et-al-2024,False,False
keivani-tapamo-2019,False,False
jang-et-al-2012,False,False
canali-lancellotti-2019,False,False
ali-et-al-2021,False,False
benblidia-et-al-2019,False,False
abdel-basset-et-al-2021,False,False
he-et-al-2020,False,False
wang-et-al-2023,False,False
alhumaima-2020,False,False
malik-et-al-2022,False,False
alwabi-et-al-2017,False,False
yang-et-al-2022,False,False
wu-et-al-2021,False,False
jing-xue-2023,False,False
al-musawi-et-al-2023,False,False
kraemer-et-al-2017,False,False
shanhe-et-al-2015,False,False
rana-abubacker-2023,False,False
abubacker-et-al-2023,False,False
bonomi-et-al-2012,True,True
